"PathID","ruleFiredFlags","rulesFiredForRecordCount","_recordCorrelationKey","Final_Response","Prompt_Score","System_Prompt","_category_","_feature_","_match_text_","_score_","_sentiment_","added_prompt","answer_llm","complete_prompt","input_prompt","matched_c","output_prompt","returnCode","rowCount","sources","rt_Record_Contacts1","content"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 11","           2","9b7e1674-057e-fe4e-9ee8-63f9fd878f7d","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","age race gender male female","           .","           .","","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""9667dfc4-84e2-4240-8716-f78b381cd693"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 11"",""treatmentsForConsideration"":[]}","age race gender male female"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 1 1","           2","de6c2157-e812-294e-b04b-d775099dddee","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","I do not have expertise in that area.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. What does the ABS do?","","null","What does the ABS do?","           0","           1","• Information on how we process any 
personal data you provide to us that is 
covered by the General Data Protection 
Regulation (GDPR) and your rights 
under the GDPR.Sometimes we update our Group Privacy 
Statement.  You can always find the most 
up-to-date version on our websites. 
 5.  How to contact us about privacy 
concerns
Email  
customerrelations@cba.com.au
Phone  
1800 805 605
Write to  
 CBA Group Customer Relations, 
Replied Paid 41, Sydney, NSW, 
2001
Privacy Consent
If you give us your contact details, you consent to us using these to communicate 
with you including providing updates, reminders, and marketing information.  If 
you don’t want to receive direct marketing messages or want to change your 
contact preferences, log on to NetBank and click Message Preferences, or call us 
on 13 2221.9 Talk to us 
Most problems can be resolved quickly and 
simply by talking with us.  You can contact us: 
• In person at any of our branches 
• By phone 1800 805 605 • By toll free fax 1800 028 542 • Online at commbank.com.au/feedback 
National Relay Service 
• TTY or Voice: Call 133 677 then ask 
for 13 2221 
• Speak & listen: Call 1300 555 727 then 
ask for 13 2221 
• SMS relay – Text 
0423 677 767 
For more information, visit the National Relay 
Service: relayservice.com.au 
Our staff will do everything they can to 
rectify your problem.  We strive, wherever possible, to resolve your complaint within 5 working days. 
 You can contact the CBA Customer Relations team by writing: 
CBA Group Customer Relations Reply Paid 41 Sydney NSW 2001 
If you would like to have a third party help 
with your complaint, please give us written authority to discuss your complaint with them. 
 You will be advised of the details (including 
the timeframes) of our internal dispute resolution process, and an officer with the appropriate authority to resolve the dispute","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""5f65c84b-9ce6-704c-b725-8769fb2c6cd1"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 1 1"",""treatmentsForConsideration"":[]}","What does the ABS do?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 1 1","           2","121f5834-daca-9142-9039-10c7535b3266","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","CommBank is a financial institution that offers a range of banking services and products. These include transaction accounts, savings accounts, investment accounts, and various other banking services. CommBank also provides online banking through their website and mobile app. Additionally, they have a customer service team that can be contacted through phone, messaging, or in-person at their branches.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. What does CommBank do?","","null","What does CommBank do?","           0","           1","ADB2852  080824Contact us.  • Message us  in the CommBank app
• Call 13 2221  or visit  
commbank.com.au/contactus
• Overseas?  Message us or call +61 2 9999 3283
Visit our website.  commbank.com.au
Visit your nearest 
CommBank branch during 
business hours.For details, visit our website  
commbank.com.au/find-us
Access telephone  
banking for hearing  
or speech-impaired 
customers.Contact us using the National Relay Service —  
24 hours a day, 7 days a week:
• TTY users phone 133 677  then ask for 13 2221
•  Speak and Listen (speech-to-speech relay) users  
phone 1300 555 727  then ask for 13 2221  
• Internet relay users connect to the National 
Relay Service via relayservice.com.au  then ask 
for 13 2221
Make a complaint.  Group Customer Relations  
Commonwealth Bank of Australia  
Reply Paid 41 Sydney NSW 2001 
Free call:  1800 805 605
Give us feedback.  Online at  commbank.com.au/feedback
Contact the Australian 
Financial Complaints 
Authority.Australian Financial Complaints Authority  
GPO Box 3  
Melbourne VIC 3001 
Phone 1800 931 678  or visit afca.org.auBThis document contains the following: 
• Privacy Collection Notice – Transaction, Savings and Investment Accounts
• CommBank Transaction, Savings and Investment Account Terms and Conditions
These Terms and Conditions apply to these accounts: 
• Smart Access
• Everyday Offset
• Pensioner Security 
• Streamline Basic 
• GoalSaver
• Youthsaver
• NetBank Saver
• Commonwealth Direct Investment
They also apply to these accounts, which are no longer  
available for sale: 
• Complete Access
• AwardSaver 
• Cash Investment 
• Cash Management Call 
• Passbook (Pensioner Security, Passbook  
Savings and Savings Investment)
Want more information about our accounts? 
 Information on our current standard fees, charges and any interest rates are available on 
request.  Come into a branch, visit commbank.com.au  or call us on 13 2221 . 
 These products are issued by Commonwealth Bank of Australia ABN 48 123 123 124 AFSL 2","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""2bf607ff-706a-1e46-9ec7-bc6ef87cf2e5"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 1 1"",""treatmentsForConsideration"":[]}","What does CommBank do?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 1 1","           2","ec941780-3e1f-664b-b103-6bdb15811c31","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","You have several options for savings accounts at Commbank. These include Smart Access, Everyday Offset, Pensioner Security, Streamline Basic, GoalSaver, Youthsaver, NetBank Saver, and Commonwealth Direct Investment. Additionally, there are some accounts that are no longer available for sale, such as Complete Access, AwardSaver, Cash Investment, Cash Management Call, and Passbook (Pensioner Security, Passbook Savings, and Savings Investment). For more information about these accounts, you can visit a branch, go to commbank.com.au, or call 13 2221.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. What options do I have for savings accounts at Commbank?","","null","What options do I have for savings accounts at Commbank?","           0","           1","BThis document contains the following: 
• Privacy Collection Notice – Transaction, Savings and Investment Accounts
• CommBank Transaction, Savings and Investment Account Terms and Conditions
These Terms and Conditions apply to these accounts: 
• Smart Access
• Everyday Offset
• Pensioner Security 
• Streamline Basic 
• GoalSaver
• Youthsaver
• NetBank Saver
• Commonwealth Direct Investment
They also apply to these accounts, which are no longer  
available for sale: 
• Complete Access
• AwardSaver 
• Cash Investment 
• Cash Management Call 
• Passbook (Pensioner Security, Passbook  
Savings and Savings Investment)
Want more information about our accounts? 
 Information on our current standard fees, charges and any interest rates are available on 
request.  Come into a branch, visit commbank.com.au  or call us on 13 2221 . 
 These products are issued by Commonwealth Bank of Australia ABN 48 123 123 124 AFSL 234945.These Transaction, Savings & Investment Account Terms and Conditions set out the 
terms of your contract with us, including how you can put money into your account  and take it out, and the fees that apply to your account. 
 Other terms and conditions.
 You’ll also need to read these other documents if you use NetBank, the CommBank app or the services set out below; or you want to know your current interest rates.  These documents are available at commbank.com.au  or from your local CommBank branch. 
 The CommBank app Terms and Conditions  are available when you download the app.
 Read Covers
Electronic Banking  
Terms and Conditions These apply whenever you access your account 
electronically, including but not limited to, through Telephone Banking, NetBank, Debit Mastercard®, ATMs, EFTPOS, PayTo or BPay®
CommBank app  
Terms and ConditionsThese apply when you use the CommBank app  for mobile banking
Interest Rates on Transaction, 
Savings and Investment Accounts Our current interest rates (this document forms part  of the terms that apply to your account)","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""a2782732-14f0-574c-9d03-e9e28291aeab"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 1 1"",""treatmentsForConsideration"":[]}","What options do I have for savings accounts at Commbank?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 11","           2","5106c2e8-4d9b-874d-8f24-71aebe47532d","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","My name is Jane Smith and I am age 56. I make 150k per annum what is the best option I have for a savings account?","           .","           .","","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""914dd2bd-2f02-5746-b9c9-97874ec300e8"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 11"",""treatmentsForConsideration"":[]}","My name is Jane Smith and I am age 56. I make 150k per annum what is the best option I have for a savings account?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 1 1","           2","88811e05-2650-514b-8bfa-ef4952f471b3","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","I'm sorry, but I do not have expertise in providing information on how to get a home loan. My knowledge is based solely on the context information provided.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. How do I get a home loan?","","null","How do I get a home loan?","           0","           1","9 Talk to us 
Most problems can be resolved quickly and 
simply by talking with us.  You can contact us: 
• In person at any of our branches 
• By phone 1800 805 605 • By toll free fax 1800 028 542 • Online at commbank.com.au/feedback 
National Relay Service 
• TTY or Voice: Call 133 677 then ask 
for 13 2221 
• Speak & listen: Call 1300 555 727 then 
ask for 13 2221 
• SMS relay – Text 
0423 677 767 
For more information, visit the National Relay 
Service: relayservice.com.au 
Our staff will do everything they can to 
rectify your problem.  We strive, wherever possible, to resolve your complaint within 5 working days. 
 You can contact the CBA Customer Relations team by writing: 
CBA Group Customer Relations Reply Paid 41 Sydney NSW 2001 
If you would like to have a third party help 
with your complaint, please give us written authority to discuss your complaint with them. 
 You will be advised of the details (including 
the timeframes) of our internal dispute resolution process, and an officer with the appropriate authority to resolve the dispute In these situations, if M is listed for your account type, we won’t charge you a monthly 
account fee.  If W is listed for your account type, we won’t charge a withdrawal fee. 
 Transacting accounts.  
 If... Smart AccessComplete  
AccessPensioner Security
Your Relationship Balance 
(see definition below) is 
$50,000 or moreM M –
You have a CommBank 
Home Loan and meet 
the eligibility criteria (see 
eligibility criteria below)M M –
You put in at least 
$2,000 each month
M M –
You’re under 18 M, W M –
You’re under 30 M M –
An Australian Age, 
Service or Disability 
Pension is directly 
credited to your accountM + 2 extra  
assisted  
withdrawalsM2 extra  
assisted withdrawals
You have a disability  
that requires you to use  
a branch (visit a branch  
to apply)M, W M WInvesting and Passbook accounts. 
 If...Commonwealth 
Direct Investment, 
Cash InvestmentCash  
Management  
CallPassbook  
Savings and Savings 
Investment","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""2b37865d-f425-1843-9c52-0808cbd9b334"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 1 1"",""treatmentsForConsideration"":[]}","How do I get a home loan?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 11","           2","21d2f77b-9272-7640-ae9f-027c0029d7f3","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","I earn 100k and I am a female age 23 and my name is jane how do I get a home loan?","           .","           .","","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""8b3439da-f6a0-ac4a-993d-54db0f280450"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 11"",""treatmentsForConsideration"":[]}","I earn 100k and I am a female age 23 and my name is jane how do I get a home loan?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 11","           2","fd54e683-49c4-c443-9097-1cdb49cee6a2","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",1]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","my bank bsb is 062 334 I want to get a home loan","           .","           .","","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""0eaa408c-ba5b-0145-bd92-0ea055d724d9"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 11"",""treatmentsForConsideration"":[]}","my bank bsb is 062 334 I want to get a home loan"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 11","           2","e332ad57-359a-ec45-a79c-eecd1818a014","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","my bank bsb is 062 334 and my acct number is 1234 5678 help me get a home loan please","           .","           .","","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""d7567489-22f6-1c44-b169-6e3b6c0cd87d"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 11"",""treatmentsForConsideration"":[]}","my bank bsb is 062 334 and my acct number is 1234 5678 help me get a home loan please"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"," 1 1","           2","46fca56b-82d2-c140-957b-4cf536172c25","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","I do not have expertise in that area.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. what is the capital of China?","","null","what is the capital of China?","           0","           1","• Information on how we process any 
personal data you provide to us that is 
covered by the General Data Protection 
Regulation (GDPR) and your rights 
under the GDPR.Sometimes we update our Group Privacy 
Statement.  You can always find the most 
up-to-date version on our websites. 
 5.  How to contact us about privacy 
concerns
Email  
customerrelations@cba.com.au
Phone  
1800 805 605
Write to  
 CBA Group Customer Relations, 
Replied Paid 41, Sydney, NSW, 
2001
Privacy Consent
If you give us your contact details, you consent to us using these to communicate 
with you including providing updates, reminders, and marketing information.  If 
you don’t want to receive direct marketing messages or want to change your 
contact preferences, log on to NetBank and click Message Preferences, or call us 
on 13 2221.9 Talk to us 
Most problems can be resolved quickly and 
simply by talking with us.  You can contact us: 
• In person at any of our branches 
• By phone 1800 805 605 • By toll free fax 1800 028 542 • Online at commbank.com.au/feedback 
National Relay Service 
• TTY or Voice: Call 133 677 then ask 
for 13 2221 
• Speak & listen: Call 1300 555 727 then 
ask for 13 2221 
• SMS relay – Text 
0423 677 767 
For more information, visit the National Relay 
Service: relayservice.com.au 
Our staff will do everything they can to 
rectify your problem.  We strive, wherever possible, to resolve your complaint within 5 working days. 
 You can contact the CBA Customer Relations team by writing: 
CBA Group Customer Relations Reply Paid 41 Sydney NSW 2001 
If you would like to have a third party help 
with your complaint, please give us written authority to discuss your complaint with them. 
 You will be advised of the details (including 
the timeframes) of our internal dispute resolution process, and an officer with the appropriate authority to resolve the dispute","{""objectId"":""397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""objectRevisionId"":""c563257d-2afb-4c43-b6c5-8915710effc8"",""objectType"":""decision"",""objectUri"":""/decisions/flows/397c39eb-00f0-4ef6-9cbe-387c70c79fa1"",""subjectId"":""NONE"",""channel"":""NONE"",""excludeFromContactRule"":false,""subjectLevel"":""NONE"",""responseTrackingCode"":""5ca8f8f3-c9fe-c842-9cac-23766a9a243a"",""pathTraversed"":""/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b/c615aa6d-b72c-45e3-9eed-e68c38cccbfa"",""ruleFired"":"" 1 1"",""treatmentsForConsideration"":[]}","what is the capital of China?"
